age,gender,result_type,results,reach,impressions,cost_per_result,amount_spent_(usd),clicks_(all),ctr,ctr_class,weekday
1,1,1,2.0,635,696.0,0.16438279,0.32876559,8,0.2873563218390804,2,6
2,0,1,9.0,3014,3491.0,0.23910224,2.1519202,48,0.2578057863076483,2,6
3,0,1,2.0,702,760.0,0.20423317,0.40846633,12,0.2631578947368421,2,6
4,0,1,1.0,238,300.0,0.24906484,0.24906484,4,0.3333333333333333,2,6
1,0,1,30.0,8225,8997.0,0.14844264,4.4532793,111,0.3334444814938312,2,6
1,1,1,2.0,125,130.0,0.04,0.08,0,1.5384615384615383,0,0
1,0,1,11.0,255,267.0,0.01454545,0.16,8,4.119850187265917,0,0
6,0,1,1.0,150,151.0,0.06978571,0.06978571,4,0.6622516556291391,2,4
4,0,1,1.0,186,188.0,0.1595102,0.1595102,7,0.5319148936170213,2,4
3,1,1,2.0,182,193.0,0.04486224,0.08972449,3,1.0362694300518136,0,4
1,1,1,6.0,2491,2774.0,0.30738946,1.84433673,49,0.2162941600576784,2,4
2,0,1,16.0,2685,3001.0,0.10405548,1.66488776,51,0.5331556147950683,2,4
3,0,1,4.0,506,545.0,0.10966327,0.43865306,14,0.7339449541284404,2,4
2,1,1,8.0,1337,1466.0,0.12960204,1.03681633,29,0.5457025920873124,2,4
1,0,1,21.0,5624,6219.0,0.20318562,4.26689796,81,0.3376748673420164,2,4
3,1,1,2.0,249,249.0,0.09961278,0.19922556,3,0.8032128514056224,0,6
1,1,1,14.0,2557,2912.0,0.12736205,1.78306873,41,0.4807692307692308,2,6
2,1,1,8.0,1316,1377.0,0.1021031,0.81682478,23,0.5809731299927379,2,6
3,0,1,10.0,617,654.0,0.04980639,0.49806389,17,1.529051987767584,0,6
5,1,1,2.0,29,29.0,0.00498064,0.00996128,3,6.896551724137931,0,6
2,0,1,22.0,3013,3198.0,0.08512365,1.87272023,63,0.6879299562226392,2,6
1,0,1,31.0,6533,7017.0,0.15006183,4.65191675,89,0.4417842382784666,2,6
2,1,1,6.0,1076,1252.0,0.12974708,0.77848249,17,0.4792332268370607,2,5
1,1,1,6.0,2499,2722.0,0.2761284,1.65677043,27,0.2204261572373255,2,5
2,0,1,15.0,3263,3610.0,0.1337393,2.00608949,64,0.4155124653739612,2,5
1,0,1,27.0,6830,7392.0,0.17743191,4.79066148,83,0.3652597402597402,2,5
3,0,1,9.0,587,620.0,0.04103113,0.36928016,24,1.4516129032258065,0,5
4,0,1,1.0,225,233.0,0.18963035,0.18963035,4,0.4291845493562232,2,5
2,1,1,9.0,1480,1603.0,0.10515723,0.94641509,22,0.561447286338116,2,1
1,1,1,15.0,2309,2551.0,0.09895849,1.48437736,22,0.5880047040376323,2,1
4,1,1,3.0,88,88.0,0.00996226,0.02988679,3,3.4090909090909087,0,1
2,0,1,21.0,3391,3812.0,0.10721294,2.2514717,58,0.5508919202518363,2,1
1,0,1,35.0,6184,6817.0,0.12666307,4.43320755,86,0.5134223265365997,2,1
4,0,1,1.0,277,277.0,0.34867925,0.34867925,6,0.3610108303249097,2,1
3,0,1,3.0,658,776.0,0.18264151,0.54792453,13,0.3865979381443299,2,1
1,1,1,8.0,2032,2229.0,0.15359375,1.22875,32,0.3589053387169134,2,3
4,1,1,3.0,88,88.0,0.01664973,0.04994919,3,3.4090909090909087,0,3
2,0,1,11.0,3226,3478.0,0.19616408,2.15780488,52,0.3162737205290397,2,3
3,0,1,5.0,684,718.0,0.11788008,0.58940041,11,0.6963788300835655,2,3
1,0,1,29.0,5982,6486.0,0.13847981,4.01591463,89,0.4471168670983657,2,3
2,1,1,3.0,1321,1369.0,0.34631436,1.03894309,25,0.2191380569758948,2,3
3,0,1,5.0,559,657.0,0.09381048,0.46905242,15,0.76103500761035,2,2
1,1,1,3.0,2182,2446.0,0.53225806,1.59677419,21,0.1226492232215862,1,2
2,0,1,26.0,2940,3106.0,0.08022255,2.08578629,44,0.8370895041854475,0,2
2,1,1,8.0,1381,1465.0,0.11851058,0.94808468,10,0.5460750853242321,2,2
6,0,1,1.0,151,151.0,0.09979839,0.09979839,4,0.6622516556291391,2,2
1,0,1,40.0,5734,6037.0,0.10403982,4.16159274,87,0.6625807520291536,2,2
4,0,1,1.0,202,247.0,0.16965726,0.16965726,4,0.4048582995951417,2,2
2,1,1,4.0,1538,1637.0,0.18190359,0.72761438,8,0.2443494196701283,2,0
1,1,1,17.0,2765,2908.0,0.08267013,1.40539216,32,0.5845942228335627,2,0
2,0,1,25.0,3068,3296.0,0.08053595,2.01339869,47,0.758495145631068,2,0
1,0,1,33.0,5656,6231.0,0.11870172,3.91715686,87,0.5296100144439095,2,0
4,0,1,2.0,177,194.0,0.07973856,0.15947712,4,1.0309278350515465,0,0
6,0,1,1.0,136,136.0,0.10964052,0.10964052,5,0.7352941176470588,2,0
4,1,1,3.0,59,63.0,0.01328976,0.03986928,2,4.761904761904762,0,0
3,0,1,5.0,505,574.0,0.09169935,0.45849673,12,0.8710801393728222,0,0
1,0,1,34.0,6041,6547.0,0.10389517,3.5324359,90,0.5193218267908967,2,4
3,0,1,1.0,801,821.0,0.40912393,0.40912393,13,0.1218026796589524,1,4
2,1,1,6.0,1958,2125.0,0.19125712,1.14754274,19,0.2823529411764706,2,4
3,1,1,4.0,325,352.0,0.05737714,0.22950855,6,1.1363636363636365,0,4
1,1,1,10.0,2378,2681.0,0.12273718,1.22737179,30,0.3729951510630361,2,4
2,0,1,16.0,3639,4141.0,0.14718483,2.35495726,65,0.3863801014247766,2,4
4,0,1,1.0,226,252.0,0.18959402,0.18959402,5,0.3968253968253968,2,4
4,1,1,1.0,66,66.0,0.01989023,0.01989023,1,1.5151515151515151,0,6
4,0,1,15.0,339,347.0,0.01657519,0.24862788,10,4.322766570605188,0,6
1,0,1,40.0,5442,5918.0,0.08751701,3.50068057,86,0.6759040216289287,2,6
1,1,1,10.0,1336,1433.0,0.06762678,0.67626784,22,0.6978367062107467,2,6
5,0,1,2.0,112,112.0,0.02983535,0.05967069,0,1.7857142857142856,0,6
3,0,1,10.0,934,1016.0,0.08154995,0.81549945,16,0.984251968503937,0,6
2,0,1,35.0,4276,4840.0,0.07444629,2.6056202,91,0.7231404958677686,2,6
2,1,1,10.0,1167,1249.0,0.05668716,0.56687157,23,0.8006405124099278,0,6
5,0,1,2.0,127,149.0,0.0498229,0.09964581,2,1.342281879194631,0,5
3,0,1,8.0,1267,1310.0,0.12082054,0.96656434,33,0.6106870229007634,2,5
2,0,1,28.0,4773,5213.0,0.10106932,2.82994097,100,0.5371187416075196,2,5
1,0,1,32.0,6422,6940.0,0.1183294,3.78654073,117,0.4610951008645533,2,5
