"Campaign name",Age,Gender,Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result Type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)","Clicks (all)","Reporting starts","Reporting ends"
"31 December Engagement campaign",65+,unknown,2024-12-27,completed,campaign,,"7-day click or 1-day view",,,4,4,,-,-,-,0,0,2024-12-27,2024-12-27
"31 December Engagement campaign",55-64,unknown,2024-12-27,completed,campaign,,"7-day click or 1-day view",,,4,8,,-,-,-,0.00998958,0,2024-12-27,2024-12-27
"31 December Engagement campaign",35-44,male,2024-12-27,completed,campaign,,"7-day click or 1-day view",,,157,225,,-,-,-,0.19979167,4,2024-12-27,2024-12-27
"31 December Engagement campaign",55-64,female,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,79,79,0.04994792,-,-,-,0.04994792,1,2024-12-27,2024-12-27
"31 December Engagement campaign",45-54,male,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,82,105,0.06493229,-,-,-,0.12986458,5,2024-12-27,2024-12-27
"31 December Engagement campaign",35-44,female,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",4,526,585,0.11238281,-,-,-,0.44953125,8,2024-12-27,2024-12-27
"31 December Engagement campaign",25-34,female,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",8,2046,2167,0.20478646,-,-,-,1.63829167,32,2024-12-27,2024-12-27
"31 December Engagement campaign",25-34,male,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",3,1107,1273,0.28969792,-,-,-,0.86909375,18,2024-12-27,2024-12-27
"31 December Engagement campaign",25-34,unknown,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,185,222,0.02996875,-,-,-,0.0599375,3,2024-12-27,2024-12-27
"31 December Engagement campaign",18-24,female,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",14,5160,5506,0.25330729,-,-,-,3.54630208,46,2024-12-27,2024-12-27
"31 December Engagement campaign",65+,female,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,136,136,0.09989583,-,-,-,0.09989583,1,2024-12-27,2024-12-27
"31 December Engagement campaign",45-54,female,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,267,296,0.0599375,-,-,-,0.119875,4,2024-12-27,2024-12-27
"31 December Engagement campaign",18-24,male,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",10,2659,2926,0.18680521,-,-,-,1.86805208,36,2024-12-27,2024-12-27
"31 December Engagement campaign",18-24,unknown,2024-12-27,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",10,801,883,0.04395417,-,-,-,0.43954167,12,2024-12-27,2024-12-27
"31 December Engagement campaign",35-44,male,2024-12-26,completed,campaign,,"7-day click or 1-day view",,,280,346,,-,-,-,0.22957952,5,2024-12-26,2024-12-26
"31 December Engagement campaign",65+,male,2024-12-26,completed,campaign,,"7-day click or 1-day view",,,71,92,,-,-,-,0.05989031,2,2024-12-26,2024-12-26
"31 December Engagement campaign",55-64,unknown,2024-12-26,completed,campaign,,"7-day click or 1-day view",,,32,52,,-,-,-,0.06987203,1,2024-12-26,2024-12-26
"31 December Engagement campaign",55-64,female,2024-12-26,completed,campaign,,"7-day click or 1-day view",,,95,95,,-,-,-,0.05989031,0,2024-12-26,2024-12-26
"31 December Engagement campaign",35-44,unknown,2024-12-26,completed,campaign,,"7-day click or 1-day view",,,288,364,,-,-,-,0.17967093,3,2024-12-26,2024-12-26
"31 December Engagement campaign",45-54,female,2024-12-26,completed,campaign,,"7-day click or 1-day view",,,213,273,,-,-,-,0.1597075,3,2024-12-26,2024-12-26
